WKT,Name,Latitude,Longitude
"POINT (106.810508728 10.8782081604)",Point 693,10.8782081604,106.810508728
"POINT (106.779625 10.891357)",Point 694,10.891357,106.779625
"POINT (106.78047 10.893011)",Point 695,10.893011,106.78047
"POINT (106.778244 10.894691)",Point 696,10.894691,106.778244
"POINT (106.77634 10.898364)",Point 697,10.898364,106.77634
"POINT (106.7791442871 10.9043712616)",Point 698,10.9043712616,106.7791442871
"POINT (106.79915 10.892315)",Point 699,10.892315,106.79915
"POINT (106.77462 10.896597)",Point 700,10.896597,106.77462
"POINT (106.7821578979 10.8895626068)",Point 701,10.8895626068,106.7821578979
"POINT (106.810684 10.876854)",Point 702,10.876854,106.810684
"POINT (106.7984085083 10.8731384277)",Point 703,10.8731384277,106.7984085083
"POINT (106.785576 10.887402)",Point 704,10.887402,106.785576
"POINT (106.79147 10.895927)",Point 705,10.895927,106.79147
"POINT (106.77053 10.907908)",Point 706,10.907908,106.77053
"POINT (106.8086242676 10.8766508102)",Point 707,10.8766508102,106.8086242676
"POINT (106.7744979858 10.9024419785)",Point 708,10.9024419785,106.7744979858
"POINT (106.7836685181 10.8849506378)",Point 709,10.8849506378,106.7836685181
"POINT (106.7774505615 10.902636528)",Point 710,10.902636528,106.7774505615
"POINT (106.7964019775 10.9070701599)",Point 711,10.9070701599,106.7964019775
"POINT (106.7814025879 10.9042797089)",Point 712,10.9042797089,106.7814025879
"POINT (106.781525 10.887292)",Point 713,10.887292,106.781525
"POINT (106.7774353027 10.9025192261)",Point 714,10.9025192261,106.7774353027
"POINT (106.7762069702 10.9043693542)",Point 715,10.9043693542,106.7762069702
"POINT (106.773994 10.892998)",Point 716,10.892998,106.773994
"POINT (106.77783 10.893625)",Point 717,10.893625,106.77783
"POINT (106.77862 10.888505)",Point 718,10.888505,106.77862
"POINT (106.7772 10.893275)",Point 719,10.893275,106.7772
"POINT (106.7881774902 10.89889431)",Point 720,10.89889431,106.7881774902
"POINT (106.7795410156 10.8959636688)",Point 721,10.8959636688,106.7795410156
"POINT (106.78812 10.902093)",Point 722,10.902093,106.78812
"POINT (106.78511 10.899098)",Point 723,10.899098,106.78511
"POINT (106.77701 10.893835)",Point 724,10.893835,106.77701
"POINT (106.7861404419 10.8985004425)",Point 725,10.8985004425,106.7861404419
"POINT (106.8087 10.87721)",Point 726,10.87721,106.8087
"POINT (106.77885 10.889607)",Point 727,10.889607,106.77885
"POINT (106.78489 10.885405)",Point 728,10.885405,106.78489
"POINT (106.785164 10.892349)",Point 729,10.892349,106.785164
"POINT (106.77912 10.887642)",Point 730,10.887642,106.77912
"POINT (106.77733 10.898869)",Point 731,10.898869,106.77733
"POINT (106.7818374634 10.8896913528)",Point 732,10.8896913528,106.7818374634
"POINT (106.77474 10.896503)",Point 733,10.896503,106.77474
"POINT (106.785034 10.899095)",Point 734,10.899095,106.785034
"POINT (106.77601 10.8975115)",Point 735,10.8975115,106.77601
"POINT (106.7766113281 10.9026937485)",Point 736,10.9026937485,106.7766113281
"POINT (106.77732 10.898839)",Point 737,10.898839,106.77732
"POINT (106.8108444214 10.8785133362)",Point 738,10.8785133362,106.8108444214
"POINT (106.78297 10.894893)",Point 739,10.894893,106.78297
"POINT (106.783325 10.886101)",Point 740,10.886101,106.783325
"POINT (106.78178 10.891476)",Point 741,10.891476,106.78178
"POINT (106.7910461426 10.8766269684)",Point 742,10.8766269684,106.7910461426
"POINT (106.788506 10.895133)",Point 743,10.895133,106.788506
"POINT (106.77882 10.889716)",Point 744,10.889716,106.77882
"POINT (106.7850952148 10.8912038803)",Point 745,10.8912038803,106.7850952148
"POINT (106.78715 10.895021)",Point 746,10.895021,106.78715
"POINT (106.77433 10.891409)",Point 747,10.891409,106.77433
"POINT (106.799659729 10.8727636337)",Point 748,10.8727636337,106.799659729
"POINT (106.78522 10.898989)",Point 749,10.898989,106.78522
