WKT,Name,Latitude,Longitude
"POINT (106.767525 10.875561)",Point 210,10.875561,106.767525
"POINT (106.763824 10.877036)",Point 211,10.877036,106.763824
"POINT (106.77412 10.879077)",Point 212,10.879077,106.77412
"POINT (106.7677 10.87452)",Point 213,10.87452,106.7677
"POINT (106.78086 10.884472)",Point 214,10.884472,106.78086
"POINT (106.76714 10.878895)",Point 215,10.878895,106.76714
"POINT (106.7508 10.873234)",Point 216,10.873234,106.7508
"POINT (106.7677078247 10.8817977905)",Point 217,10.8817977905,106.7677078247
"POINT (106.7801 10.884744)",Point 218,10.884744,106.7801
"POINT (106.7707977295 10.8724679947)",Point 219,10.8724679947,106.7707977295
"POINT (106.7701797485 10.8777542114)",Point 220,10.8777542114,106.7701797485
"POINT (106.7702 10.87309)",Point 221,10.87309,106.7702
"POINT (106.7675628662 10.8819484711)",Point 222,10.8819484711,106.7675628662
"POINT (106.7704 10.886942)",Point 223,10.886942,106.7704
"POINT (106.76932 10.872112)",Point 224,10.872112,106.76932
"POINT (106.777756 10.869493)",Point 225,10.869493,106.777756
"POINT (106.77632 10.87803)",Point 226,10.87803,106.77632
"POINT (106.771095 10.878581)",Point 227,10.878581,106.771095
"POINT (106.79147 10.893884)",Point 228,10.893884,106.79147
"POINT (106.76813 10.891087)",Point 229,10.891087,106.76813
"POINT (106.76753 10.877545)",Point 230,10.877545,106.76753
"POINT (106.7673 10.88259)",Point 231,10.88259,106.7673
"POINT (106.771034 10.87892)",Point 232,10.87892,106.771034
"POINT (106.7817077637 10.8768024445)",Point 233,10.8768024445,106.7817077637
"POINT (106.770294 10.881086)",Point 234,10.881086,106.770294
"POINT (106.7808837891 10.8849439621)",Point 235,10.8849439621,106.7808837891
"POINT (106.77741 10.877717)",Point 236,10.877717,106.77741
"POINT (106.7648849487 10.8779268265)",Point 237,10.8779268265,106.7648849487
"POINT (106.7653121948 10.8751678467)",Point 238,10.8751678467,106.7653121948
"POINT (106.7673339844 10.8915605545)",Point 239,10.8915605545,106.7673339844
"POINT (106.7636947632 10.8779678345)",Point 240,10.8779678345,106.7636947632
"POINT (106.77567 10.878252)",Point 241,10.878252,106.77567
"POINT (106.769135 10.887014)",Point 242,10.887014,106.769135
"POINT (106.7633209229 10.8807449341)",Point 243,10.8807449341,106.7633209229
"POINT (106.76378 10.87704)",Point 244,10.87704,106.76378
"POINT (106.7701873779 10.8778800964)",Point 245,10.8778800964,106.7701873779
"POINT (106.76684 10.87483)",Point 246,10.87483,106.76684
"POINT (106.76323 10.879358)",Point 247,10.879358,106.76323
"POINT (106.76714 10.878895)",Point 248,10.878895,106.76714
"POINT (106.772415 10.881323)",Point 249,10.881323,106.772415
"POINT (106.767 10.878872)",Point 250,10.878872,106.767
"POINT (106.76944 10.873821)",Point 251,10.873821,106.76944
