grid_id,grid_size_m,grid_area_km2,longitude_epsg4326,latitude_epsg4326,x_epsg32648,y_epsg32648,grid_population_density,grid_population
273,25,0.00063,106.7667427,10.87875498,693112.827,1203135.422,11627.44294,7.295403759
274,25,0.00063,106.7667441,10.87898097,693112.8269,1203160.422,10932.38648,6.859304514
275,25,0.00063,106.7667454,10.87920696,693112.8269,1203185.421,10306.83566,6.466815194
276,25,0.00063,106.7667467,10.87943296,693112.8269,1203210.422,9403.262259,5.899886256
277,25,0.00063,106.766748,10.87965895,693112.8269,1203235.422,8360.677563,5.245737524
278,25,0.00063,106.7667494,10.87988494,693112.827,1203260.422,8256.419094,5.180322561
279,25,0.00061,106.7667529,10.88010878,693113.0701,1203285.184,7700.373923,4.725765218
280,25,0.00023,106.7668048,10.88029253,693118.6276,1203305.543,7040.070282,1.623792394
281,25,0.00002,106.7670164,10.87207537,693147.0505,1202396.706,11001.89212,0.19764528
282,25,0.00058,106.7669378,10.87220684,693138.3719,1202411.2,11314.66753,6.614766431
283,25,0.00063,106.7669341,10.87242583,693137.827,1202435.422,11418.926,7.164576238
284,25,0.00063,106.7669354,10.87265183,693137.8268,1202460.422,11731.70141,7.360820754
285,25,0.00063,106.7669368,10.87287782,693137.8269,1202485.422,11870.7127,7.448040456
286,25,0.00063,106.7669381,10.87310381,693137.8269,1202510.422,12322.49941,7.731504804
287,25,0.00063,106.7669394,10.87332981,693137.8268,1202535.422,12600.52199,7.905944338
288,25,0.00063,106.7669408,10.8735558,693137.8268,1202560.422,12774.28611,8.014968984
289,25,0.00063,106.7669421,10.8737818,693137.8268,1202585.422,13538.84822,8.494677942
290,25,0.00063,106.7669434,10.87400779,693137.8269,1202610.422,13990.63492,8.778142247
291,25,0.00063,106.7669447,10.87423379,693137.827,1202635.422,15102.72526,9.475900761
292,25,0.00063,106.7669461,10.87445978,693137.827,1202660.422,15241.73655,9.563120409
293,25,0.00063,106.7669474,10.87468577,693137.8268,1202685.422,15589.26478,9.781169803
294,25,0.00063,106.7669487,10.87491177,693137.8268,1202710.422,15763.0289,9.890194399
295,25,0.00063,106.7669501,10.87513776,693137.8267,1202735.422,15971.54584,10.02102395
296,25,0.00063,106.7669514,10.87536375,693137.8268,1202760.422,16006.29866,10.04282871
297,25,0.00063,106.7669527,10.87558975,693137.827,1202785.422,15936.79302,9.999218601
298,25,0.00063,106.7669541,10.87581574,693137.8269,1202810.422,15902.04019,9.977413449
299,25,0.00063,106.7669554,10.87604173,693137.8269,1202835.422,15554.51196,9.7593637
300,25,0.00063,106.7669567,10.87626773,693137.8271,1202860.422,15415.50067,9.672143689
301,25,0.00063,106.7669581,10.87649372,693137.8269,1202885.422,15067.97244,9.454093953
302,25,0.00063,106.7669594,10.87671972,693137.8268,1202910.422,14755.19703,9.25784918
303,25,0.00063,106.7669607,10.87694571,693137.8268,1202935.422,14824.70267,9.301458906
304,25,0.00063,106.766962,10.8771717,693137.8267,1202960.422,14303.41033,8.974384424
305,25,0.00063,106.7669634,10.8773977,693137.8268,1202985.422,13990.63492,8.778139673
306,25,0.00063,106.7669647,10.87762369,693137.8268,1203010.422,13504.09539,8.472870166
