original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,average_travel_time_s,average_speed_kmh,assigned_grid_area_km2,assigned_grid_area_m2,Popij,Sij_m,forward_source_link_name
54,14_35,Forward,14,35,10.879921,106.80729,10.8809737,106.8142454,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",Opposite New Eastern Bus Station,1496,140.8220897,38.244,0.00945,9450,37.38576048,5.473254645,
55,14_42,Forward,14,42,10.879921,106.80729,10.883092,106.8,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",Ho Da Lake - Le Quy Don Intersection - Nguyen Du Street (Residential Block 497-499) - Linh Trung Ward,1597,211,27.24739336,0.05859,58590,25.32588211,23.98122962,
56,14_43,Forward,14,43,10.879921,106.80729,10.8850557,106.8000822,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",National Defense and Security Education Center,1731,233,26.74506438,0.04599,45990,14.56533881,13.08032256,
57,14_79,Forward,14,79,10.879921,106.80729,10.8892959,106.8055626,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",Dong An Driving Training Center - Near 300 Thong Nhat Street - Dong An Driving Training Center Gate,1984,277,25.78483755,0.059,59000,23.76443646,20.97952099,
58,14_40,Forward,14,40,10.879921,106.80729,10.8876326,106.8046342,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",Ho Da Park - Dong Hoa,2140,329,23.41641337,0.02016,20160,5.242031954,5.413231897,
59,15_10,Forward,15,10,10.880791,106.810634,10.8762014,106.807517,"AH4 Building, Area A Dormitory - Opposite No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,611,68,32.34705882,0.04536,45360,240.4640105,43.86654056,
60,15_33,Forward,15,33,10.880791,106.810634,10.8713888,106.8066598,"AH4 Building, Area A Dormitory - Opposite No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",People's Security University - Tien Thanh Factory - National Highway 1,1260,266,17.05263158,0.04725,47250,202.9768403,17.80215688,
61,16_13,Backward,16,13,10.8807,106.81078,10.8801103,106.807183,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward","Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward",704,103,24.60582524,0.00504,5040,21.01040193,8.078473907,14_15
62,16_35,Forward,16,35,10.8807,106.81078,10.8809737,106.8142454,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Opposite New Eastern Bus Station,944,188.7580538,18.004,0.00315,3150,10.94289509,2.694392877,
63,16_41,Forward,16,41,10.8807,106.81078,10.8873942,106.8047072,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",National Defense and Security Education Center (Nguyen Du Gate) - Opposite Rear Gate - Nguyen Du Street - Binh Chieu Ward,1215,171,25.57894737,0.0315,31500,19.46602915,12.96575418,
64,16_79,Forward,16,79,10.8807,106.81078,10.8892959,106.8055626,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Dong An Driving Training Center - Near 300 Thong Nhat Street - Dong An Driving Training Center Gate,1434,179,28.84022346,0.06673,66730,40.51092099,16.95037036,
65,16_40,Forward,16,40,10.8807,106.81078,10.8876326,106.8046342,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Ho Da Park - Dong Hoa,1591,230,24.9026087,0.0252,25200,12.9519855,8.59308509,
66,16_42,Forward,16,42,10.8807,106.81078,10.883092,106.8,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",Ho Da Lake - Le Quy Don Intersection - Nguyen Du Street (Residential Block 497-499) - Linh Trung Ward,1590,209,27.38755981,0.04914,49140,86.07971905,20.62275207,
67,16_1,Forward,16,1,10.8807,106.81078,10.8771068,106.8028618,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward","International University, VNU-HCM",1665,178.7279721,33.537,0.03528,35280,143.1701606,34.8800932,
68,16_43,Forward,16,43,10.8807,106.81078,10.8850557,106.8000822,"AH4 Building, Area A Dormitory - No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",National Defense and Security Education Center,1725,230,27,0.04914,49140,39.92065089,10.96450242,
69,17_11,Forward,17,11,10.8765308,106.805115,10.877729,106.805858,Bus Stop 33,VNU-HCM Area A Dormitory - Area A Dormitory (Stop CX 161-163) - Ta Quang Buu Street - Linh Trung Ward,165,33,18,0.01386,13860,51.51558327,54.37205328,
70,18_65,Forward,18,65,10.8743785,106.7999792,10.8809022,106.7955379,Student Cultural House - Opposite Student Cultural House - Creative Square - Linh Trung Ward,VNU-HCM Guest House - Opposite VNU-HCM Guest House (Stop CX 353-355) - Nguyen Du Street - Linh Trung Ward,1155,150,27.72,0.27342,273420,876.9626653,197.5209297,
71,18_4,Backward,18,4,10.8743785,106.7999792,10.8764075,106.8024855,Student Cultural House - Opposite Student Cultural House - Creative Square - Linh Trung Ward,"International University, VNU-HCM - Opposite International University - Creative Square - Linh Trung Ward",472,77,22.06753247,0.00693,6930,32.43000763,7.984766361,3_18
72,18_24,Forward,18,24,10.8743785,106.7999792,10.8734223,106.802275,Student Cultural House - Opposite Student Cultural House - Creative Square - Linh Trung Ward,"University of Social Sciences and Humanities, VNU-HCM - Creative Square - Linh Trung Ward",268,37,26.07567568,0.00945,9450,54.43700902,17.18073396,
73,18_20,Forward,18,20,10.8743785,106.7999792,10.8716853,106.7981465,Student Cultural House - Opposite Student Cultural House - Creative Square - Linh Trung Ward,Fishing Lake - Opposite 6/21 Alexandre de Rhodes Street,650,123,19.02439024,0.09261,92610,521.243677,134.0058899,
