original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,gis_route_distance_km,average_travel_time_s,average_travel_time_min,average_speed_kmh,assigned_grid_count,assigned_grid_area_km2,assigned_grid_area_m2,Popij,assigned_grid_population_total,Sij_m,Sij_km,forward_source_link_name
38,10_6,Backward,10,6,10.8762014,106.807517,10.875778,106.8051008,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,VNU-HCM Area A Dormitory - Creative Square Intersection (Inbound) - Creative Square - Linh Trung Ward,439,0.439,51.67238843,0.861206474,30.585,1,0.010038456,10038.45612,30.92323019,30.92323019,4.616356856,0.004616357,7_9
39,10_33,Forward,10,33,10.8762014,106.807517,10.8713888,106.8066598,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,People's Security University - Tien Thanh Factory - National Highway 1,650,0.65,141,2.35,16.59574468,0,0,0,0,0,0,0,10_33
40,10_25,Forward,10,25,10.8762014,106.807517,10.8736134,106.8029052,Area A Bus Terminal - Opposite The Eastgate Apartment - Nguyen Binh Khiem Street - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,739,0.739,119.2255983,1.987093305,22.314,3,0.030115396,30115.3962,115.7272306,115.7272306,46.83744467,0.046837445,10_25
41,11_12,U-turn,11,12,10.877729,106.805858,10.8778558,106.805685,VNU-HCM Area A Dormitory - Area A Dormitory (Stop CX 161-163) - Ta Quang Buu Street - Linh Trung Ward,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,133,0.133,88,1.466666667,5.440909091,0,0,0,0,0,0,0,
42,11_14,Forward,11,14,10.877729,106.805858,10.879921,106.80729,VNU-HCM Area A Dormitory - Area A Dormitory (Stop CX 161-163) - Ta Quang Buu Street - Linh Trung Ward,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",289,0.289,82,1.366666667,12.68780488,2,0.020076907,20076.90675,88.17997417,88.17997417,43.37246644,0.043372466,11_14
43,12_11,U-turn,12,11,10.8778558,106.805685,10.877729,106.805858,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,VNU-HCM Area A Dormitory - Area A Dormitory (Stop CX 161-163) - Ta Quang Buu Street - Linh Trung Ward,138,0.138,66,1.1,7.527272727,0,0,0,0,0,0,0,
44,12_3,Forward,12,3,10.8778558,106.805685,10.8766326,106.8024914,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,"International University, VNU-HCM - Creative Square - Linh Trung Ward",474,0.474,78,1.3,21.87692308,1,0.010038494,10038.49374,25.85918516,25.85918516,3.368523493,0.003368523,12_3
45,12_2,Forward,12,2,10.8778558,106.805685,10.8781307,106.8027517,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",561,0.561,104.2266605,1.737111008,19.377,1,0.010038473,10038.47337,18.7693218,18.7693218,21.53127328,0.021531273,12_2
46,12_5,Forward,12,5,10.8778558,106.805685,10.875638,106.804914,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,640,0.64,101,1.683333333,22.81188119,1,0.010038464,10038.46357,27.88476572,27.88476572,8.009529795,0.00800953,12_5
47,12_25,Forward,12,25,10.8778558,106.805685,10.8736134,106.8029052,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,800,0.8,137.4176925,2.290294875,20.958,2,0.02007696,20076.95968,55.09440856,55.09440856,9.821733654,0.009821734,12_25
48,13_14,U-turn,13,14,10.8801103,106.807183,10.879921,106.80729,"Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward","Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",590,0.59,177,2.95,12,0,0,0,0,0,0,0,
