original_index,link_name,link_type,from_station_id,to_station_id,from_lat,from_lon,to_lat,to_lon,from_station_name,to_station_name,gis_route_distance_m,gis_route_distance_km,average_travel_time_s,average_travel_time_min,average_speed_kmh,assigned_grid_count,assigned_grid_area_km2,assigned_grid_area_m2,Popij,assigned_grid_population_total,Sij_m,Sij_km,forward_source_link_name,assignment_source_original_index
44,12_3,Forward,12,3,10.8778558,106.805685,10.8766326,106.8024914,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,"International University, VNU-HCM - Creative Square - Linh Trung Ward",474,0.474,78,1.3,21.87692308,6,0.015057721,15057.72054,32.36756646,32.36756646,16.01151038,0.01601151,,
45,12_2,Forward,12,2,10.8778558,106.805685,10.8781307,106.8027517,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,"International University, VNU-HCM - Le Quy Don Intersection - Thomas Edison Street (Opposite International University) - Le Quy Don Street - Linh Trung Ward",561,0.561,104.2266605,1.737111008,19.377,6,0.015057717,15057.71711,28.79493692,28.79493692,6.187389822,0.00618739,,
46,12_5,Forward,12,5,10.8778558,106.805685,10.875638,106.804914,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,VNU-HCM Area A Dormitory - Creative Square Intersection (Outbound) - Creative Square - Linh Trung Ward,640,0.64,101,1.683333333,22.81188119,4,0.010038467,10038.4672,31.04722535,31.04722535,38.481738,0.038481738,,
47,12_25,Forward,12,25,10.8778558,106.805685,10.8736134,106.8029052,VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,VNU-HCM Area A Bus Terminal - Creative Square,800,0.8,137.4176925,2.290294875,20.958,8,0.020076962,20076.96242,56.86631976,56.86631976,11.8046871,0.011804687,,
48,13_14,U-turn,13,14,10.8801103,106.807183,10.879921,106.80729,"Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward","Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",590,0.59,177,2.95,12,0,0,0,0,0,0,0,,
49,13_12,Forward,13,12,10.8801103,106.807183,10.8778558,106.805685,"Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward",VNU-HCM Area A Dormitory - Opposite Area A Dormitory (Stop CX 286) - Ta Quang Buu Street - Linh Trung Ward,298,0.298,69,1.15,15.54782609,3,0.007528841,7528.841329,33.95964725,33.95964725,7.191341208,0.007191341,,
50,14_13,U-turn,14,13,10.879921,106.80729,10.8801103,106.807183,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward","Ho Chi Minh City University of Technology, VNU-HCM - University of Technology (Stop CX 138-142) - Ta Quang Buu Street - Linh Trung Ward",711,0.711,1005,16.75,2.546865672,0,0,0,0,0,0,0,,
51,14_15,Forward,14,15,10.879921,106.80729,10.880791,106.810634,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward","AH4 Building, Area A Dormitory - Opposite No. 136-138 Nguyen Binh Khiem Street - Linh Trung Ward",682,0.682,111,1.85,22.11891892,4,0.010038422,10038.42177,40.45782749,40.45782749,19.99946869,0.019999469,,
52,14_41,Forward,14,41,10.879921,106.80729,10.8873942,106.8047072,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward",National Defense and Security Education Center (Nguyen Du Gate) - Opposite Rear Gate - Nguyen Du Street - Binh Chieu Ward,1221,1.221,173,2.883333333,25.40809249,0,0,0,0,0,0,0,,
53,14_1,Forward,14,1,10.879921,106.80729,10.8771068,106.8028618,"Ho Chi Minh City University of Technology, VNU-HCM - Opposite University of Technology (Stop CX 101-103) - Ta Quang Buu Street - Linh Trung Ward","International University, VNU-HCM",1687,1.687,335.6286267,5.593810445,18.095,2,0.005019231,5019.231294,17.00492822,17.00492822,5.378787758,0.005378788,,
